iter	Passed	Remaining
702	8952	16517
703	8957	16489
704	8969	16476
705	8981	16461
706	8993	16447
707	9005	16434
708	9018	16422
709	9030	16408
710	9042	16394
711	9055	16381
712	9068	16369
713	9081	16356
714	9094	16344
715	9106	16331
716	9119	16318
717	9131	16305
718	9144	16291
719	9157	16279
720	9169	16266
721	9181	16252
722	9194	16239
723	9207	16228
724	9220	16214
725	9232	16202
726	9245	16189
727	9258	16176
728	9270	16163
729	9283	16150
730	9296	16138
731	9308	16124
732	9321	16112
733	9334	16099
734	9346	16085
735	9357	16070
736	9369	16056
737	9382	16043
738	9394	16030
739	9407	16017
740	9419	16004
741	9431	15990
742	9444	15978
743	9456	15965
744	9469	15952
745	9482	15939
746	9494	15925
747	9506	15912
748	9519	15899
749	9532	15887
750	9544	15873
751	9557	15861
752	9569	15847
753	9581	15834
754	9594	15821
755	9606	15808
756	9619	15794
757	9631	15781
758	9643	15768
759	9655	15753
760	9668	15741
761	9681	15728
762	9693	15715
763	9705	15701
764	9718	15689
765	9730	15675
766	9742	15661
767	9754	15648
768	9767	15635
769	9779	15622
770	9791	15608
771	9804	15595
772	9816	15582
773	9820	15555
774	9832	15541
775	9845	15529
776	9857	15515
777	9869	15502
778	9881	15488
779	9894	15475
780	9906	15462
781	9918	15448
782	9930	15434
783	9943	15421
784	9955	15408
785	9968	15395
786	9981	15383
787	9994	15371
788	10006	15359
789	10019	15345
790	10031	15332
791	10043	15318
792	10055	15305
793	10068	15292
794	10080	15279
795	10093	15266
796	10099	15244
797	10111	15230
798	10124	15218
799	10136	15204
800	10148	15191
801	10161	15178
802	10172	15163
803	10184	15149
804	10196	15136
805	10208	15122
806	10220	15108
807	10232	15095
808	10245	15082
809	10258	15070
810	10270	15056
811	10282	15043
812	10286	15018
813	10298	15004
814	10311	14992
815	10323	14979
816	10335	14966
817	10348	14953
818	10361	14940
819	10373	14927
820	10384	14913
821	10396	14899
822	10408	14886
823	10420	14872
824	10433	14859
825	10445	14846
826	10457	14832
827	10470	14819
828	10482	14806
829	10494	14793
830	10505	14778
831	10518	14766
832	10530	14752
833	10542	14739
834	10554	14726
835	10567	14713
836	10573	14691
837	10577	14666
838	10588	14652
839	10600	14639
840	10613	14626
841	10626	14614
842	10638	14601
843	10651	14589
844	10663	14575
845	10668	14553
846	10680	14539
847	10692	14525
848	10707	14516
849	10721	14505
850	10734	14493
851	10747	14480
852	10759	14468
853	10772	14456
854	10785	14444
855	10798	14431
856	10811	14419
857	10824	14407
858	10837	14394
859	10849	14382
860	10862	14370
861	10869	14350
862	10882	14338
863	10896	14326
864	10909	14314
865	10923	14304
866	10936	14292
867	10950	14280
868	10963	14269
869	10976	14257
870	10988	14243
871	11001	14230
872	11014	14219
873	11027	14206
874	11040	14195
875	11054	14184
876	11068	14172
877	11081	14160
878	11093	14148
879	11106	14135
880	11120	14124
881	11133	14112
882	11146	14100
883	11158	14087
884	11185	14092
885	11198	14080
886	11211	14067
887	11223	14055
888	11236	14042
889	11249	14030
890	11262	14018
891	11268	13996
892	11280	13983
893	11292	13970
894	11304	13957
895	11317	13944
896	11329	13930
897	11341	13917
898	11353	13904
899	11365	13891
900	11378	13879
901	11391	13866
902	11403	13853
903	11407	13830
904	11419	13817
905	11433	13805
906	11445	13792
907	11456	13778
908	11470	13767
909	11484	13755
910	11496	13742
911	11508	13729
912	11521	13717
913	11534	13705
914	11542	13687
915	11554	13674
916	11567	13661
917	11580	13649
918	11592	13636
919	11605	13623
920	11617	13610
921	11630	13598
922	11642	13585
923	11654	13572
924	11666	13558
925	11679	13546
926	11691	13533
927	11704	13520
928	11716	13507
929	11728	13493
930	11740	13480
931	11752	13467
932	11765	13455
933	11778	13442
934	11790	13429
935	11802	13416
936	11814	13403
937	11827	13391
938	11840	13378
939	11852	13365
940	11865	13353
941	11877	13340
942	11890	13328
943	11902	13315
944	11914	13301
945	11926	13287
946	11939	13275
947	11950	13261
948	11963	13248
949	11975	13236
950	11987	13223
951	11999	13209
952	12010	13195
953	12024	13183
954	12036	13170
955	12048	13157
956	12061	13145
957	12073	13132
958	12086	13119
959	12100	13108
960	12115	13098
961	12129	13088
962	12142	13075
963	12154	13062
964	12166	13048
965	12178	13035
966	12190	13022
967	12204	13010
968	12217	12998
969	12229	12986
970	12242	12973
971	12255	12961
972	12268	12948
973	12281	12936
974	12293	12923
975	12306	12911
976	12318	12898
977	12331	12886
978	12344	12874
979	12356	12860
980	12369	12848
981	12381	12834
982	12392	12821
983	12405	12809
984	12418	12796
985	12431	12784
986	12444	12772
987	12456	12759
988	12460	12738
989	12471	12723
990	12484	12711
991	12495	12697
992	12507	12683
993	12519	12670
994	12532	12658
995	12545	12645
996	12556	12632
997	12569	12619
998	12581	12606
999	12593	12593
1000	12605	12580
1001	12617	12566
1002	12629	12553
1003	12641	12540
1004	12653	12528
1005	12665	12514
1006	12677	12500
1007	12689	12487
1008	12698	12472
1009	12711	12459
1010	12722	12446
1011	12735	12433
1012	12747	12420
1013	12760	12407
1014	12771	12394
1015	12783	12380
1016	12795	12368
1017	12807	12354
1018	12811	12333
1019	12823	12320
1020	12835	12307
1021	12848	12295
1022	12861	12282
1023	12874	12270
1024	12886	12257
1025	12899	12245
1026	12911	12232
1027	12923	12219
1028	12934	12205
1029	12947	12192
1030	12960	12180
1031	12972	12168
1032	12985	12155
1033	12997	12142
1034	13009	12130
1035	13022	12117
1036	13034	12104
1037	13046	12090
1038	13058	12078
1039	13070	12064
1040	13082	12051
1041	13094	12038
1042	13107	12026
1043	13119	12013
1044	13131	12000
1045	13144	11988
1046	13155	11974
1047	13168	11962
1048	13180	11949
1049	13193	11936
1050	13205	11923
1051	13217	11910
1052	13229	11898
1053	13242	11885
1054	13254	11872
1055	13266	11859
1056	13279	11847
1057	13291	11834
1058	13304	11821
1059	13316	11809
1060	13329	11796
1061	13341	11784
1062	13354	11771
1063	13365	11757
1064	13378	11745
1065	13390	11732
1066	13402	11719
1067	13415	11706
1068	13427	11693
1069	13439	11680
1070	13451	11667
1071	13459	11651
1072	13471	11638
1073	13482	11624
1074	13494	11611
1075	13506	11598
1076	13518	11585
1077	13530	11572
1078	13542	11559
1079	13554	11546
1080	13567	11533
1081	13579	11520
1082	13591	11508
1083	13603	11495
1084	13615	11482
1085	13628	11469
1086	13640	11457
1087	13652	11444
1088	13665	11431
1089	13677	11418
1090	13689	11405
1091	13701	11392
1092	13714	11380
1093	13726	11367
1094	13738	11355
1095	13750	11341
1096	13762	11328
1097	13774	11315
1098	13788	11304
1099	13802	11292
1100	13816	11281
1101	13832	11271
1102	13845	11259
1103	13859	11248
1104	13873	11236
1105	13887	11225
1106	13901	11213
1107	13914	11202
1108	13929	11191
1109	13943	11180
1110	13957	11168
1111	13971	11156
1112	13984	11144
1113	13997	11132
1114	14009	11119
1115	14022	11107
1116	14034	11094
1117	14047	11081
1118	14059	11069
1119	14071	11056
1120	14084	11044
1121	14097	11031
1122	14109	11018
1123	14121	11006
1124	14135	10994
1125	14149	10982
1126	14161	10970
1127	14176	10959
1128	14189	10947
1129	14203	10935
1130	14218	10924
1131	14231	10912
1132	14245	10900
1133	14259	10889
1134	14271	10876
1135	14287	10866
1136	14301	10854
1137	14313	10842
1138	14325	10829
1139	14337	10816
1140	14350	10803
1141	14362	10790
1142	14374	10777
1143	14386	10765
1144	14398	10751
1145	14410	10738
1146	14422	10725
1147	14435	10713
1148	14446	10699
1149	14459	10687
1150	14471	10674
1151	14483	10661
1152	14496	10649
1153	14508	10636
1154	14519	10622
1155	14531	10609
1156	14543	10596
1157	14558	10585
1158	14572	10574
1159	14585	10562
1160	14599	10550
1161	14614	10539
1162	14627	10527
1163	14641	10515
1164	14655	10504
1165	14668	10492
1166	14683	10480
1167	14696	10468
1168	14709	10456
1169	14723	10444
1170	14734	10431
1171	14747	10418
1172	14759	10405
1173	14771	10392
1174	14783	10379
1175	14794	10366
1176	14807	10353
1177	14818	10340
1178	14830	10327
1179	14842	10314
1180	14854	10301
1181	14866	10288
1182	14876	10274
1183	14888	10260
1184	14900	10247
1185	14912	10235
1186	14924	10221
1187	14935	10208
1188	14948	10195
1189	14960	10183
1190	14974	10171
1191	14987	10159
1192	15001	10147
1193	15014	10135
1194	15028	10123
1195	15040	10110
1196	15053	10098
1197	15066	10086
1198	15080	10074
1199	15094	10062
1200	15108	10051
1201	15121	10039
1202	15133	10026
1203	15145	10012
1204	15157	10000
1205	15169	9987
1206	15181	9974
1207	15193	9961
1208	15204	9947
1209	15216	9934
1210	15228	9921
1211	15233	9904
1212	15245	9891
1213	15256	9878
1214	15269	9865
1215	15281	9852
1216	15294	9840
1217	15308	9828
1218	15313	9810
1219	15326	9799
1220	15343	9789
1221	15357	9777
1222	15370	9765
1223	15384	9753
1224	15397	9741
1225	15411	9729
1226	15425	9717
1227	15439	9706
1228	15453	9694
1229	15466	9682
1230	15478	9669
1231	15490	9656
1232	15502	9643
1233	15508	9626
1234	15520	9613
1235	15524	9595
1236	15535	9582
1237	15548	9569
1238	15559	9556
1239	15571	9543
1240	15583	9530
1241	15595	9518
1242	15607	9505
1243	15619	9492
1244	15630	9478
1245	15642	9465
1246	15655	9453
1247	15667	9440
1248	15679	9427
1249	15691	9415
1250	15703	9402
1251	15715	9389
1252	15727	9376
1253	15739	9363
1254	15751	9350
1255	15763	9337
1256	15775	9324
1257	15787	9311
1258	15799	9299
1259	15812	9286
1260	15824	9273
1261	15836	9260
1262	15848	9247
1263	15861	9235
1264	15873	9223
1265	15885	9210
1266	15895	9195
1267	15906	9182
1268	15918	9169
1269	15930	9156
1270	15941	9143
1271	15953	9130
1272	15965	9117
1273	15977	9104
1274	15989	9091
1275	16000	9078
1276	16005	9061
1277	16017	9049
1278	16030	9036
1279	16042	9023
1280	16053	9010
1281	16065	8997
1282	16077	8984
1283	16089	8971
1284	16101	8958
1285	16113	8946
1286	16126	8934
1287	16138	8921
1288	16150	8908
1289	16162	8895
1290	16174	8882
1291	16186	8870
1292	16199	8857
1293	16210	8844
1294	16223	8831
1295	16235	8819
1296	16248	8806
1297	16256	8791
1298	16268	8779
1299	16281	8767
1300	16293	8754
1301	16305	8741
1302	16317	8728
1303	16328	8715
1304	16340	8702
1305	16352	8689
1306	16365	8677
1307	16377	8664
1308	16389	8651
1309	16401	8639
1310	16414	8626
1311	16426	8614
1312	16434	8598
1313	16446	8586
1314	16458	8573
1315	16470	8560
1316	16482	8547
1317	16495	8535
1318	16508	8523
1319	16521	8510
1320	16534	8498
1321	16546	8486
1322	16560	8474
1323	16574	8462
1324	16579	8446
1325	16593	8434
1326	16607	8422
1327	16621	8410
1328	16634	8398
1329	16647	8386
1330	16660	8374
1331	16674	8362
1332	16687	8350
1333	16702	8338
1334	16714	8325
1335	16726	8312
1336	16737	8300
1337	16749	8287
1338	16761	8274
1339	16773	8261
1340	16785	8248
1341	16797	8236
1342	16810	8223
1343	16817	8208
1344	16827	8195
1345	16840	8182
1346	16851	8169
1347	16863	8156
1348	16874	8143
1349	16886	8130
1350	16896	8117
1351	16909	8104
1352	16921	8091
1353	16933	8078
1354	16945	8066
1355	16958	8053
1356	16970	8041
1357	16981	8028
1358	16988	8013
1359	17001	8000
1360	17013	7988
1361	17025	7975
1362	17038	7962
1363	17050	7950
1364	17062	7937
1365	17074	7924
1366	17086	7912
1367	17098	7899
1368	17110	7886
1369	17123	7874
1370	17135	7861
1371	17146	7848
1372	17157	7835
1373	17169	7822
1374	17181	7809
1375	17193	7796
1376	17205	7784
1377	17217	7771
1378	17228	7758
1379	17239	7745
1380	17252	7732
1381	17264	7720
1382	17276	7707
1383	17288	7694
1384	17301	7682
1385	17312	7669
1386	17323	7656
1387	17335	7643
1388	17347	7630
1389	17359	7618
1390	17371	7605
1391	17383	7592
1392	17395	7580
1393	17408	7567
1394	17420	7555
1395	17432	7542
1396	17441	7528
1397	17453	7515
1398	17465	7503
1399	17477	7490
1400	17489	7477
1401	17501	7465
1402	17511	7451
1403	17522	7438
1404	17534	7425
1405	17546	7413
1406	17558	7400
1407	17570	7387
1408	17583	7375
1409	17595	7362
1410	17606	7349
1411	17618	7336
1412	17629	7323
1413	17641	7311
1414	17653	7298
1415	17665	7285
1416	17678	7273
1417	17690	7260
1418	17701	7247
1419	17713	7234
1420	17723	7221
1421	17735	7208
1422	17747	7196
1423	17758	7183
1424	17770	7170
1425	17782	7157
1426	17789	7143
1427	17801	7130
1428	17813	7117
1429	17825	7105
1430	17837	7092
1431	17848	7079
1432	17859	7066
1433	17871	7053
1434	17884	7041
1435	17897	7029
1436	17910	7017
1437	17921	7004
1438	17935	6992
1439	17947	6979
1440	17960	6967
1441	17971	6954
1442	17984	6941
1443	17995	6929
1444	18008	6916
1445	18020	6904
1446	18033	6891
1447	18044	6878
1448	18056	6866
1449	18068	6853
1450	18080	6841
1451	18092	6828
1452	18104	6815
1453	18116	6802
1454	18127	6790
1455	18139	6777
1456	18151	6764
1457	18163	6752
1458	18175	6739
1459	18187	6726
1460	18199	6714
1461	18212	6701
1462	18224	6689
1463	18228	6673
1464	18239	6660
1465	18251	6648
1466	18263	6635
1467	18275	6623
1468	18287	6610
1469	18299	6597
1470	18311	6585
1471	18322	6572
1472	18334	6559
1473	18347	6547
1474	18359	6534
1475	18371	6522
1476	18383	6509
1477	18394	6496
